Station,gantry,Latitude,Longitude,Lane Count,Billing Month,Electricity Consumption (kWh),Billing Period (Start),Billing Period (End)
樹林,03F-052.5SN,24.936025,121.3419,4,10,3924,2024-07-30,2024-09-26
樹林,03F-052.5SN,24.936025,121.3419,4,12,4138,2024-09-27,2024-11-27
樹林,03F-055.9SN,24.930225,121.312458,4,6,3770,2024-04-15,2024-06-13
樹林,03F-055.9SN,24.930225,121.312458,4,8,3964,2024-06-14,2024-08-14
樹林,03F-055.9SN,24.930225,121.312458,4,10,3966,2024-08-15,2024-10-15
樹林,03F-055.9SN,24.930225,121.312458,4,12,3768,2024-10-16,2024-12-15
樹林,03F-049.8SN,24.943825,121.365275,4,5,3853,2024-03-07,2024-05-08
樹林,03F-049.8SN,24.943825,121.365275,4,7,3722,2024-05-09,2024-07-07
樹林,03F-049.8SN,24.943825,121.365275,4,9,3954,2024-07-08,2024-09-08
樹林,03F-049.8SN,24.943825,121.365275,4,11,3651,2024-09-09,2024-11-07
樹林,樹林收費站,,,,5,1061,2024-04-09,2024-05-09
樹林,樹林收費站,,,,6,956,2024-05-10,2024-06-06
樹林,樹林收費站,,,,7,1428,2024-06-07,2024-07-08
樹林,樹林收費站,,,,8,1461,2024-07-09,2024-08-08
樹林,樹林收費站,,,,9,1475,2024-08-09,2024-09-09
